Wavelength(micron)	Fp/F*(Blackbody & heat fully redistribution ppm)	Fp/F*(Blackbody & heat fully redistribution ppm)
6.82	43.18	43.18
6.83	43.22	43.22
6.84	43.26	43.26
6.85	43.29	43.29
6.86	43.33	43.33
6.87	43.37	43.37
6.88	43.41	43.41
6.89	43.45	43.45
6.90	43.49	43.49
6.91	43.53	43.53
6.92	43.57	43.57
6.93	43.61	43.61
6.94	43.65	43.65
6.95	43.69	43.69
6.96	43.73	43.73
6.97	43.77	43.77
6.98	43.80	43.80
6.99	43.84	43.84
7.00	43.88	43.88
7.01	43.92	43.92
7.02	43.96	43.96
7.03	44.00	44.00
7.04	44.03	44.03
7.05	44.07	44.07
7.06	44.11	44.11
7.07	44.15	44.15
7.08	44.19	44.19
7.09	44.22	44.22
7.10	44.26	44.26
7.11	44.30	44.30
7.12	44.34	44.34
7.13	44.37	44.37
7.14	44.41	44.41
7.15	44.45	44.45
7.16	44.49	44.49
7.17	44.52	44.52
7.18	44.56	44.56
7.19	44.60	44.60
7.20	44.63	44.63
7.21	44.67	44.67
7.22	44.71	44.71
7.23	44.74	44.74
7.24	44.78	44.78
7.25	44.82	44.82
7.26	44.85	44.85
7.27	44.89	44.89
7.28	44.92	44.92
7.29	44.96	44.96
7.30	45.00	45.00
7.31	45.03	45.03
7.32	45.07	45.07
7.33	45.10	45.10
7.34	45.14	45.14
7.35	45.17	45.17
7.36	45.21	45.21
7.37	45.24	45.24
7.38	45.28	45.28
7.39	45.32	45.32
7.40	45.35	45.35
7.41	45.39	45.39
7.42	45.42	45.42
7.43	45.46	45.46
7.44	45.49	45.49
7.45	45.52	45.52
7.46	45.56	45.56
7.47	45.59	45.59
7.48	45.63	45.63
7.49	45.66	45.66
7.50	45.70	45.70
7.51	45.73	45.73
7.52	45.77	45.77
7.53	45.80	45.80
7.54	45.83	45.83
7.55	45.87	45.87
7.56	45.90	45.90
7.57	45.94	45.94
7.58	45.97	45.97
7.59	46.00	46.00
7.60	46.04	46.04
7.61	46.07	46.07
7.62	46.10	46.10
7.63	46.14	46.14
7.64	46.17	46.17
7.65	46.20	46.20
7.66	46.24	46.24
7.67	46.27	46.27
7.68	46.30	46.30
7.69	46.34	46.34
7.70	46.37	46.37
7.71	46.40	46.40
7.72	46.43	46.43
7.73	46.47	46.47
7.74	46.50	46.50
7.75	46.53	46.53
7.76	46.56	46.56
7.77	46.60	46.60
7.78	46.63	46.63
7.79	46.66	46.66
7.80	46.69	46.69
7.81	46.73	46.73
7.82	46.76	46.76
7.83	46.79	46.79
7.84	46.82	46.82
7.85	46.85	46.85
7.86	46.89	46.89
7.87	46.92	46.92
7.88	46.95	46.95
7.89	46.98	46.98
7.90	47.01	47.01
7.91	47.04	47.04
7.92	47.07	47.07
7.93	47.11	47.11
7.94	47.14	47.14
7.95	47.17	47.17
7.96	47.20	47.20
7.97	47.23	47.23
7.98	47.26	47.26
7.99	47.29	47.29
8.00	47.32	47.32
8.01	47.35	47.35
8.02	47.38	47.38
8.03	47.42	47.42
8.04	47.45	47.45
8.05	47.48	47.48
8.06	47.51	47.51
8.07	47.54	47.54
8.08	47.57	47.57
8.09	47.60	47.60
8.10	47.63	47.63
8.11	47.66	47.66
8.12	47.69	47.69
8.13	47.72	47.72
8.14	47.75	47.75
8.15	47.78	47.78
8.16	47.81	47.81
8.17	47.84	47.84
8.18	47.87	47.87
8.19	47.90	47.90
8.20	47.93	47.93
8.21	47.96	47.96
8.22	47.99	47.99
8.23	48.02	48.02
8.24	48.04	48.04
8.25	48.07	48.07
8.26	48.10	48.10
8.27	48.13	48.13
8.28	48.16	48.16
8.29	48.19	48.19
8.30	48.22	48.22
8.31	48.25	48.25
8.32	48.28	48.28
8.33	48.31	48.31
8.34	48.33	48.33
8.35	48.36	48.36
8.36	48.39	48.39
8.37	48.42	48.42
8.38	48.45	48.45
8.39	48.48	48.48
8.40	48.51	48.51
8.41	48.53	48.53
8.42	48.56	48.56
8.43	48.59	48.59
8.44	48.62	48.62
8.45	48.65	48.65
8.46	48.67	48.67
8.47	48.70	48.70
8.48	48.73	48.73
8.49	48.76	48.76
8.50	48.79	48.79
8.51	48.81	48.81
8.52	48.84	48.84
8.53	48.87	48.87
8.54	48.90	48.90
8.55	48.92	48.92
8.56	48.95	48.95
8.57	48.98	48.98
8.58	49.01	49.01
8.59	49.03	49.03
8.60	49.06	49.06
8.61	49.09	49.09
8.62	49.12	49.12
8.63	49.14	49.14
8.64	49.17	49.17
8.65	49.20	49.20
8.66	49.22	49.22
8.67	49.25	49.25
8.68	49.28	49.28
8.69	49.30	49.30
8.70	49.33	49.33
8.71	49.36	49.36
8.72	49.38	49.38
8.73	49.41	49.41
8.74	49.44	49.44
8.75	49.46	49.46
8.76	49.49	49.49
8.77	49.52	49.52
8.78	49.54	49.54
8.79	49.57	49.57
8.80	49.59	49.59
8.81	49.62	49.62
8.82	49.65	49.65
8.83	49.67	49.67
8.84	49.70	49.70
8.85	49.72	49.72
8.86	49.75	49.75
8.87	49.78	49.78
8.88	49.80	49.80
8.89	49.83	49.83
8.90	49.85	49.85
8.91	49.88	49.88
8.92	49.90	49.90
8.93	49.93	49.93
8.94	49.96	49.96
8.95	49.98	49.98
8.96	50.01	50.01
8.97	50.03	50.03
8.98	50.06	50.06
8.99	50.08	50.08
9.00	50.11	50.11
9.01	50.13	50.13
9.02	50.16	50.16
9.03	50.18	50.18
9.04	50.21	50.21
9.05	50.23	50.23
9.06	50.26	50.26
9.07	50.28	50.28
9.08	50.31	50.31
9.09	50.33	50.33
9.10	50.36	50.36
9.11	50.38	50.38
9.12	50.41	50.41
9.13	50.43	50.43
9.14	50.46	50.46
9.15	50.48	50.48
9.16	50.50	50.50
9.17	50.53	50.53
9.18	50.55	50.55
9.19	50.58	50.58
9.20	50.60	50.60
9.21	50.63	50.63
9.22	50.65	50.65
9.23	50.67	50.67
9.24	50.70	50.70
9.25	50.72	50.72
9.26	50.75	50.75
9.27	50.77	50.77
9.28	50.79	50.79
9.29	50.82	50.82
9.30	50.84	50.84
9.31	50.86	50.86
9.32	50.89	50.89
9.33	50.91	50.91
9.34	50.94	50.94
9.35	50.96	50.96
9.36	50.98	50.98
9.37	51.01	51.01
9.38	51.03	51.03
9.39	51.05	51.05
9.40	51.08	51.08
9.41	51.10	51.10
9.42	51.12	51.12
9.43	51.15	51.15
9.44	51.17	51.17
9.45	51.19	51.19
9.46	51.22	51.22
9.47	51.24	51.24
9.48	51.26	51.26
9.49	51.28	51.28
9.50	51.31	51.31
9.51	51.33	51.33
9.52	51.35	51.35
9.53	51.38	51.38
9.54	51.40	51.40
9.55	51.42	51.42
9.56	51.44	51.44
9.57	51.47	51.47
9.58	51.49	51.49
9.59	51.51	51.51
9.60	51.53	51.53
