Wavelength(micron)	Fp/F*(High albedo_specular ppm)	Fp/F*(High albedo_Lambert ppm)
7.04	70.67	70.79
7.05	70.72	70.83
7.06	70.76	70.88
7.07	70.80	70.92
7.08	70.84	70.96
7.09	70.89	71.00
7.10	70.93	71.04
7.11	70.97	71.08
7.12	71.01	71.12
7.13	71.05	71.16
7.14	71.09	71.20
7.15	71.13	71.24
7.16	71.17	71.28
7.17	71.21	71.32
7.18	71.25	71.35
7.19	71.29	71.39
7.20	71.33	71.43
7.21	71.37	71.47
7.22	71.41	71.51
7.23	71.45	71.55
7.24	71.49	71.59
7.25	71.53	71.63
7.26	71.56	71.67
7.27	71.60	71.71
7.28	71.64	71.74
7.29	71.68	71.78
7.30	71.72	71.82
7.31	71.77	71.87
7.32	71.81	71.91
7.33	71.86	71.95
7.34	71.90	72.00
7.35	71.95	72.04
7.36	71.99	72.08
7.37	72.03	72.13
7.38	72.08	72.17
7.39	72.12	72.21
7.40	72.17	72.25
7.41	72.21	72.30
7.42	72.26	72.34
7.43	72.30	72.38
7.44	72.34	72.43
7.45	72.39	72.47
7.46	72.43	72.51
7.47	72.48	72.55
7.48	72.52	72.60
7.49	72.56	72.64
7.50	72.61	72.68
7.51	72.65	72.72
7.52	72.69	72.77
7.53	72.74	72.81
7.54	72.78	72.85
7.55	72.82	72.89
7.56	72.87	72.93
7.57	72.91	72.98
7.58	72.96	73.02
7.59	73.00	73.06
7.60	73.04	73.10
7.61	73.09	73.15
7.62	73.13	73.19
7.63	73.17	73.23
7.64	73.22	73.27
7.65	73.26	73.31
7.66	73.30	73.36
7.67	73.35	73.40
7.68	73.39	73.44
7.69	73.43	73.48
7.70	73.47	73.52
7.71	73.52	73.56
7.72	73.56	73.61
7.73	73.60	73.65
7.74	73.65	73.69
7.75	73.69	73.73
7.76	73.73	73.77
7.77	73.78	73.82
7.78	73.82	73.86
7.79	73.86	73.90
7.80	73.91	73.94
7.81	73.95	73.99
7.82	74.00	74.03
7.83	74.04	74.07
7.84	74.08	74.11
7.85	74.13	74.16
7.86	74.17	74.20
7.87	74.22	74.24
7.88	74.26	74.28
7.89	74.30	74.32
7.90	74.35	74.37
7.91	74.39	74.41
7.92	74.43	74.45
7.93	74.48	74.49
7.94	74.52	74.53
7.95	74.56	74.57
7.96	74.60	74.62
7.97	74.65	74.66
7.98	74.69	74.70
7.99	74.73	74.74
8.00	74.77	74.77
8.01	74.80	74.81
8.02	74.83	74.84
8.03	74.87	74.87
8.04	74.90	74.91
8.05	74.94	74.94
8.06	74.97	74.97
8.07	75.00	75.01
8.08	75.04	75.04
8.09	75.07	75.07
8.10	75.11	75.11
8.11	75.14	75.14
8.12	75.17	75.17
8.13	75.21	75.21
8.14	75.24	75.24
8.15	75.27	75.27
8.16	75.31	75.30
8.17	75.34	75.34
8.18	75.37	75.37
8.19	75.41	75.40
8.20	75.44	75.43
8.21	75.47	75.47
8.22	75.49	75.49
8.23	75.49	75.49
8.24	75.48	75.48
8.25	75.47	75.48
8.26	75.47	75.47
8.27	75.46	75.47
8.28	75.45	75.47
8.29	75.45	75.46
8.30	75.44	75.46
8.31	75.43	75.46
8.32	75.42	75.45
8.33	75.42	75.45
8.34	75.41	75.44
8.35	75.40	75.44
8.36	75.39	75.43
8.37	75.38	75.43
8.38	75.38	75.42
8.39	75.37	75.42
8.40	75.36	75.41
8.41	75.35	75.41
8.42	75.34	75.40
8.43	75.33	75.40
8.44	75.33	75.39
8.45	75.32	75.39
8.46	75.31	75.38
8.47	75.29	75.37
8.48	75.17	75.26
8.49	75.05	75.16
8.50	74.93	75.06
8.51	74.81	74.95
8.52	74.70	74.85
8.53	74.58	74.74
8.54	74.46	74.64
8.55	74.34	74.53
8.56	74.22	74.43
8.57	74.10	74.32
8.58	73.98	74.21
8.59	73.86	74.11
8.60	73.74	74.00
8.61	73.62	73.90
8.62	73.50	73.79
8.63	73.38	73.68
8.64	73.26	73.58
8.65	73.15	73.49
8.66	73.05	73.39
8.67	72.94	73.30
8.68	72.84	73.21
8.69	72.73	73.12
8.70	72.62	73.02
8.71	72.52	72.93
8.72	72.41	72.84
8.73	72.31	72.74
8.74	72.20	72.65
8.75	72.09	72.56
8.76	71.99	72.46
8.77	71.88	72.37
8.78	71.76	72.27
8.79	71.65	72.16
8.80	71.53	72.06
8.81	71.41	71.95
8.82	71.29	71.85
8.83	71.17	71.74
8.84	71.05	71.64
8.85	70.94	71.53
8.86	70.82	71.43
8.87	70.70	71.32
8.88	70.58	71.22
8.89	70.46	71.11
