Wavelength(micron)	Fp/F*(Blackbody ppm)	Fp/F*(Blackbody ppm)
6.51	64.92	64.92
6.52	64.96	64.96
6.53	65.01	65.01
6.54	65.05	65.05
6.55	65.09	65.09
6.56	65.13	65.13
6.57	65.17	65.17
6.58	65.21	65.21
6.59	65.25	65.25
6.60	65.30	65.30
6.61	65.34	65.34
6.62	65.38	65.38
6.63	65.42	65.42
6.64	65.46	65.46
6.65	65.50	65.50
6.66	65.54	65.54
6.67	65.58	65.58
6.68	65.62	65.62
6.69	65.66	65.66
6.70	65.70	65.70
6.71	65.74	65.74
6.72	65.78	65.78
6.73	65.82	65.82
6.74	65.86	65.86
6.75	65.90	65.90
6.76	65.94	65.94
6.77	65.98	65.98
6.78	66.02	66.02
6.79	66.06	66.06
6.80	66.09	66.09
6.81	66.13	66.13
6.82	66.17	66.17
6.83	66.21	66.21
6.84	66.25	66.25
6.85	66.29	66.29
6.86	66.33	66.33
6.87	66.36	66.36
6.88	66.40	66.40
6.89	66.44	66.44
6.90	66.48	66.48
6.91	66.52	66.52
6.92	66.55	66.55
6.93	66.59	66.59
6.94	66.63	66.63
6.95	66.67	66.67
6.96	66.70	66.70
6.97	66.74	66.74
6.98	66.78	66.78
6.99	66.82	66.82
7.00	66.85	66.85
7.01	66.89	66.89
7.02	66.93	66.93
7.03	66.96	66.96
7.04	67.00	67.00
7.05	67.04	67.04
7.06	67.07	67.07
7.07	67.11	67.11
7.08	67.14	67.14
7.09	67.18	67.18
7.10	67.22	67.22
7.11	67.25	67.25
7.12	67.29	67.29
7.13	67.32	67.32
7.14	67.36	67.36
7.15	67.40	67.40
7.16	67.43	67.43
7.17	67.47	67.47
7.18	67.50	67.50
7.19	67.54	67.54
7.20	67.57	67.57
7.21	67.61	67.61
7.22	67.64	67.64
7.23	67.68	67.68
7.24	67.71	67.71
7.25	67.75	67.75
7.26	67.78	67.78
7.27	67.82	67.82
7.28	67.85	67.85
7.29	67.88	67.88
7.30	67.92	67.92
7.31	67.95	67.95
7.32	67.99	67.99
7.33	68.02	68.02
7.34	68.06	68.06
7.35	68.09	68.09
7.36	68.12	68.12
7.37	68.16	68.16
7.38	68.19	68.19
7.39	68.22	68.22
7.40	68.26	68.26
7.41	68.29	68.29
7.42	68.32	68.32
7.43	68.36	68.36
7.44	68.39	68.39
7.45	68.42	68.42
7.46	68.46	68.46
7.47	68.49	68.49
7.48	68.52	68.52
7.49	68.55	68.55
7.50	68.59	68.59
7.51	68.62	68.62
7.52	68.65	68.65
7.53	68.68	68.68
7.54	68.72	68.72
7.55	68.75	68.75
7.56	68.78	68.78
7.57	68.81	68.81
7.58	68.84	68.84
7.59	68.88	68.88
7.60	68.91	68.91
7.61	68.94	68.94
7.62	68.97	68.97
7.63	69.00	69.00
7.64	69.03	69.03
7.65	69.07	69.07
7.66	69.10	69.10
7.67	69.13	69.13
7.68	69.16	69.16
7.69	69.19	69.19
7.70	69.22	69.22
7.71	69.25	69.25
7.72	69.28	69.28
7.73	69.32	69.32
7.74	69.35	69.35
7.75	69.38	69.38
7.76	69.41	69.41
7.77	69.44	69.44
7.78	69.47	69.47
7.79	69.50	69.50
7.80	69.53	69.53
7.81	69.56	69.56
7.82	69.59	69.59
7.83	69.62	69.62
7.84	69.65	69.65
7.85	69.68	69.68
7.86	69.71	69.71
7.87	69.74	69.74
7.88	69.77	69.77
7.89	69.80	69.80
7.90	69.83	69.83
7.91	69.86	69.86
7.92	69.89	69.89
7.93	69.92	69.92
7.94	69.95	69.95
7.95	69.98	69.98
7.96	70.01	70.01
7.97	70.03	70.03
7.98	70.06	70.06
7.99	70.09	70.09
8.00	70.12	70.12
8.01	70.15	70.15
8.02	70.18	70.18
8.03	70.21	70.21
8.04	70.24	70.24
8.05	70.27	70.27
8.06	70.29	70.29
8.07	70.32	70.32
8.08	70.35	70.35
8.09	70.38	70.38
8.10	70.41	70.41
8.11	70.44	70.44
8.12	70.46	70.46
8.13	70.49	70.49
8.14	70.52	70.52
8.15	70.55	70.55
8.16	70.58	70.58
8.17	70.60	70.60
8.18	70.63	70.63
8.19	70.66	70.66
8.20	70.69	70.69
8.21	70.71	70.71
8.22	70.74	70.74
8.23	70.77	70.77
8.24	70.80	70.80
8.25	70.82	70.82
8.26	70.85	70.85
8.27	70.88	70.88
8.28	70.91	70.91
8.29	70.93	70.93
8.30	70.96	70.96
8.31	70.99	70.99
8.32	71.01	71.01
8.33	71.04	71.04
8.34	71.07	71.07
8.35	71.09	71.09
8.36	71.12	71.12
8.37	71.15	71.15
8.38	71.17	71.17
8.39	71.20	71.20
8.40	71.23	71.23
8.41	71.25	71.25
8.42	71.28	71.28
8.43	71.31	71.31
8.44	71.33	71.33
8.45	71.36	71.36
8.46	71.39	71.39
8.47	71.41	71.41
8.48	71.44	71.44
8.49	71.46	71.46
8.50	71.49	71.49
8.51	71.52	71.52
8.52	71.54	71.54
8.53	71.57	71.57
8.54	71.59	71.59
8.55	71.62	71.62
8.56	71.64	71.64
8.57	71.67	71.67
8.58	71.69	71.69
8.59	71.72	71.72
8.60	71.74	71.74
8.61	71.77	71.77
8.62	71.80	71.80
8.63	71.82	71.82
8.64	71.85	71.85
8.65	71.87	71.87
8.66	71.90	71.90
8.67	71.92	71.92
8.68	71.95	71.95
8.69	71.97	71.97
8.70	72.00	72.00
8.71	72.02	72.02
8.72	72.04	72.04
8.73	72.07	72.07
8.74	72.09	72.09
8.75	72.12	72.12
8.76	72.14	72.14
8.77	72.17	72.17
8.78	72.19	72.19
8.79	72.22	72.22
8.80	72.24	72.24
8.81	72.26	72.26
8.82	72.29	72.29
8.83	72.31	72.31
8.84	72.34	72.34
8.85	72.36	72.36
8.86	72.38	72.38
8.87	72.41	72.41
8.88	72.43	72.43
8.89	72.46	72.46
8.90	72.48	72.48
8.91	72.50	72.50
8.92	72.53	72.53
8.93	72.55	72.55
8.94	72.57	72.57
8.95	72.60	72.60
