Wavelength(micron)	Fp/F*(Low albedo_specular ppm)	Fp/F*(Low albedo_Lambert ppm)
5.25	54.91	55.34
5.26	54.98	55.42
5.27	55.06	55.49
5.28	55.14	55.57
5.29	55.22	55.64
5.30	55.29	55.72
5.31	55.37	55.79
5.32	55.44	55.86
5.33	55.52	55.93
5.34	55.59	56.00
5.35	55.66	56.07
5.36	55.73	56.14
5.37	55.80	56.21
5.38	55.87	56.28
5.39	55.94	56.34
5.40	56.01	56.41
5.41	56.08	56.48
5.42	56.15	56.55
5.43	56.22	56.62
5.44	56.29	56.68
5.45	56.36	56.75
5.46	56.43	56.82
5.47	56.50	56.89
5.48	56.57	56.95
5.49	56.63	57.02
5.50	56.70	57.09
5.51	56.77	57.15
5.52	56.84	57.22
5.53	56.91	57.29
5.54	56.98	57.35
5.55	57.04	57.42
5.56	57.11	57.48
5.57	57.18	57.55
5.58	57.25	57.62
5.59	57.32	57.68
5.60	57.38	57.75
5.61	57.45	57.81
5.62	57.52	57.88
5.63	57.59	57.94
5.64	57.65	58.01
5.65	57.72	58.07
5.66	57.79	58.14
5.67	57.85	58.20
5.68	57.92	58.27
5.69	57.99	58.33
5.70	58.05	58.39
5.71	58.12	58.46
5.72	58.18	58.52
5.73	58.25	58.59
5.74	58.32	58.65
5.75	58.38	58.71
5.76	58.45	58.78
5.77	58.51	58.84
5.78	58.58	58.90
5.79	58.64	58.96
5.80	58.69	59.02
5.81	58.75	59.08
5.82	58.81	59.13
5.83	58.87	59.19
5.84	58.93	59.25
5.85	58.99	59.30
5.86	59.04	59.36
5.87	59.10	59.42
5.88	59.16	59.47
5.89	59.22	59.53
5.90	59.27	59.59
5.91	59.33	59.64
5.92	59.39	59.70
5.93	59.44	59.75
5.94	59.50	59.81
5.95	59.56	59.87
5.96	59.61	59.92
5.97	59.67	59.98
5.98	59.73	60.03
5.99	59.78	60.09
6.00	59.84	60.14
6.01	59.90	60.20
6.02	59.95	60.25
6.03	60.01	60.31
6.04	60.06	60.36
6.05	60.12	60.41
6.06	60.17	60.47
6.07	60.23	60.52
6.08	60.28	60.58
6.09	60.34	60.63
6.10	60.39	60.68
6.11	60.45	60.74
6.12	60.50	60.79
6.13	60.56	60.84
6.14	60.61	60.90
6.15	60.67	60.95
6.16	60.72	61.00
6.17	60.78	61.06
6.18	60.83	61.11
6.19	60.88	61.16
6.20	60.94	61.22
6.21	60.99	61.27
6.22	61.05	61.32
6.23	61.10	61.37
6.24	61.15	61.42
6.25	61.21	61.48
6.26	61.26	61.53
6.27	61.31	61.58
6.28	61.36	61.63
6.29	61.42	61.68
6.30	61.47	61.74
6.31	61.52	61.79
6.32	61.58	61.84
6.33	61.63	61.89
6.34	61.68	61.94
6.35	61.73	61.99
6.36	61.78	62.04
6.37	61.84	62.09
6.38	61.89	62.14
6.39	61.94	62.20
6.40	61.99	62.25
6.41	62.04	62.30
6.42	62.10	62.35
6.43	62.15	62.40
6.44	62.20	62.45
6.45	62.25	62.50
6.46	62.30	62.55
6.47	62.35	62.60
6.48	62.40	62.65
6.49	62.45	62.70
6.50	62.50	62.75
6.51	62.55	62.80
6.52	62.60	62.84
6.53	62.66	62.89
6.54	62.71	62.94
6.55	62.76	62.99
6.56	62.81	63.04
6.57	62.86	63.09
6.58	62.91	63.14
6.59	62.96	63.19
6.60	63.01	63.24
6.61	63.06	63.29
6.62	63.11	63.34
6.63	63.16	63.39
6.64	63.21	63.44
6.65	63.26	63.48
6.66	63.31	63.53
6.67	63.36	63.58
6.68	63.41	63.63
6.69	63.46	63.68
6.70	63.51	63.73
6.71	63.56	63.78
6.72	63.61	63.82
6.73	63.66	63.87
6.74	63.71	63.92
6.75	63.76	63.97
6.76	63.81	64.02
6.77	63.86	64.06
6.78	63.91	64.11
6.79	63.95	64.16
6.80	64.00	64.21
6.81	64.05	64.26
6.82	64.10	64.30
6.83	64.15	64.35
6.84	64.20	64.40
6.85	64.25	64.44
6.86	64.30	64.49
6.87	64.34	64.54
6.88	64.39	64.59
6.89	64.44	64.63
6.90	64.49	64.68
6.91	64.54	64.73
6.92	64.58	64.77
6.93	64.63	64.82
6.94	64.68	64.87
6.95	64.73	64.91
6.96	64.77	64.96
6.97	64.82	65.00
6.98	64.87	65.05
6.99	64.92	65.10
7.00	64.96	65.14
7.01	65.01	65.19
7.02	65.06	65.23
7.03	65.11	65.28
7.04	65.15	65.33
7.05	65.20	65.37
7.06	65.25	65.42
7.07	65.29	65.46
7.08	65.34	65.51
7.09	65.39	65.55
7.10	65.43	65.60
7.11	65.48	65.64
7.12	65.53	65.69
7.13	65.57	65.73
7.14	65.62	65.78
7.15	65.66	65.82
7.16	65.71	65.87
7.17	65.76	65.91
7.18	65.80	65.96
7.19	65.85	66.00
7.20	65.89	66.05
7.21	65.94	66.09
7.22	65.98	66.13
7.23	66.03	66.18
7.24	66.08	66.22
7.25	66.12	66.27
7.26	66.17	66.31
7.27	66.21	66.35
7.28	66.26	66.40
7.29	66.30	66.44
7.30	66.35	66.49
7.31	66.39	66.53
7.32	66.44	66.57
7.33	66.48	66.62
7.34	66.53	66.66
7.35	66.57	66.70
7.36	66.61	66.75
7.37	66.66	66.79
7.38	66.70	66.83
7.39	66.75	66.88
7.40	66.79	66.92
7.41	66.84	66.96
7.42	66.88	67.00
7.43	66.92	67.05
7.44	66.97	67.09
7.45	67.01	67.13
7.46	67.06	67.18
7.47	67.10	67.22
7.48	67.14	67.26
7.49	67.19	67.30
7.50	67.23	67.35
7.51	67.27	67.39
7.52	67.32	67.43
7.53	67.36	67.47
7.54	67.41	67.51
7.55	67.45	67.56
7.56	67.49	67.60
7.57	67.54	67.64
7.58	67.58	67.69
7.59	67.63	67.73
7.60	67.67	67.77
7.61	67.72	67.82
7.62	67.76	67.86
7.63	67.81	67.90
7.64	67.85	67.95
7.65	67.90	67.99
7.66	67.94	68.03
7.67	67.98	68.07
7.68	68.03	68.12
7.69	68.07	68.16
7.70	68.12	68.20
7.71	68.16	68.25
7.72	68.21	68.29
7.73	68.25	68.33
7.74	68.29	68.37
7.75	68.34	68.42
7.76	68.38	68.46
7.77	68.43	68.50
7.78	68.47	68.54
7.79	68.51	68.58
7.80	68.56	68.63
7.81	68.60	68.67
7.82	68.64	68.71
7.83	68.69	68.75
7.84	68.73	68.79
7.85	68.77	68.84
7.86	68.82	68.88
7.87	68.86	68.92
7.88	68.90	68.96
